date	tank_type	tier	tank	outcome	survived	map	damage_dealt	damage_spotting	damage_blocked	experience_earned	bonds_earned	kills	credits
28/10/2017	heavy	10	T110E5	lost	0	Swamp	2221	0	2310	375	0	1	-5605
28/10/2017	tank destroyer	7	T25/2	draw	0	Sacred Valley	250	0	0	261	0	0	1034
28/10/2017	tank destroyer	8	Rhm-B WT	loss	0	Lakeville	491	105	0	264	0	0	-1488
28/10/2017	light	9	AMX 13 90	loss	0	Stalingrad	1726	0	0	503	0	1	3247
28/10/2017	medium	8	T-54 mod.1	win	0	El Halluf	1447	1143	1270	1287	0	1	59691
12/11/2017	tank destroyer	8	Rhm-B WT	win	1	Paris	3101	0	0	1493	1	3	23103
12/11/2017	light	9	AMX 13 90	win	0	Cliff	275	2282	0	1046	0	0	9017
12/11/2017	heavy	8	T26E5	win	1	Redshire	1976	1706	390	1565	0	4	84399
12/11/2017	heavy	8	T26E5	loss	0	Winterberg	1766	797	240	780	0	2	50959
12/11/2017	tank destroyer	10	Jp Pz E100	loss	0	Highway	1520	465	1170	507	0	2	-12832
12/11/2017	tank destroyer	10	Jp Pz E100	win	0	Siegfried Line	3957	1032	600	1370	0	4	18707
12/11/2017	heavy	8	T26E5	win	0	Erlenberg	247	171	250	890	0	0	19218
12/11/2017	heavy	9	AMX 50 120	loss	0	Pilsen	2066	89	240	498	0	0	2965
12/11/2017	medium	9	M46 Patton	loss	0	Steppes	1714	1109	2500	612	0	1	-11620
12/11/2017	medium	7	T-43	win 	1	Sacred Valley	1545	558	240	1260	0	3	28916
12/11/2017	SPG	9	M40/M43	loss	0	Fiery Salient	967	489	0	198	0	0	-2878
12/11/2017	medium	10	E50M	loss	0	Sand River	3630	457	240	755	0	4	-3665
12/11/2017	heavy	8	T26E5	win	1	Arctic Region	2031	41	1620	1202	1	2	62504
12/11/2017	heavy	10	T110E5	lost	0	Swamp	1121	727	1130	266	0	0	-12261
12/11/2017	medium	6	Strv 74	win	0	Fjords	917	0	0	807	0	1	11720
12/11/2017	light	9	AMX 13 90	lost	0	Murovanka	509	868	0	267	0	0	1650
12/11/2017	medium	8	T-54 mod.1	lost	0	Overlord	504	62	0	225	0	0	11543
12/11/2017	heavy	6	KV-2	win	1	Redshire	917	453	150	909	0	1	16949
12/11/2017	medium	10	M48 Patton	win	0	Pilsen	1595	0	440	936	0	1	694
12/11/2017	heavy	10	T110E5	win	1	Tundra	2795	34	950	1169	5	4	6629
12/11/2017	heavy	10	T110E5	win	1	Paris	2139	2426	780	1436	12	1	15404
12/11/2017	heavy	10	T110E5	win	1	Mines	1668	0	800	341	0	0	24702
12/11/2017	heavy	10	T110E5	lost	0	Mountain Pass	4393	0	2710	989	0	4	15681
12/11/2017	medium	8	T-54 mod.1	lost	0	Live Oaks	806	230	0	426	0	0	19827
12/11/2017	heavy	10	T110E5	win	0	Ruinberg	2806	2570	350	1305	0	1	2221
12/11/2017	heavy	10	T110E5	win	0	Highway	849	0	0	792	0	0	-10047
13/11/2017	heavy	8	T26E5	lost	0	Malinovka	1506	1061	220	648	0	0	45111
13/11/2017	medium	8	T-54 mod.1	lost	0	Murovanka	708	0	790	258	0	0	15389
13/11/2017	medium	8	FV4202	lost	0	Cliff	843	230	585	438	0	1	20669
13/11/2017	heavy	8	T34	win	0	Steppes	1177	1259	490	966	0	1	46045
13/11/2017	heavy	8	T26E5	lost	0	Sacred Valley	0	0	0	117	0	0	1403
14/11/2017	heavy	8	T26E5	lost	0	Siegfried Line	710	256	240	296	0	0	22808
14/11/2017	heavy	8	T26E5	win	0	Malinovka	1404	1490	1150	1328	0	1	59649
14/11/2017	heavy	8	T26E5	lost	0	Ensk	990	0	1260	416	0	1	23586
14/11/2017	heavy	8	T26E5	lost	0	Lakeville	441	0	0	296	0	0	10073
17/11/2017	heavy	8	T26E5	lost	0	Murovanka	1104	0	480	471	0	0	27837
17/11/2017	medium	8	T-54 mod.1	win	1	El Halluf	2924	311	2270	1890	1	2	79418
17/11/2017	heavy	8	T26E5	lost	0	Windstorm	483	381	400	497	0	0	18124
17/11/2017	medium	8	T-54 mod.1	win	1	Swamp	1784	392	490	1107	0	1	55429
17/11/2017	medium	7	T-43	win	0	Westfield	0	0	0	444	0	0	3725
17/11/2017	heavy	8	T26E5	win	0	Ensk	1115	0	445	1310	0	3	47449
17/11/2017	medium	8	T-54 mod.1	win	0	Serene Coast	1722	398	900	1328	0	5	56907
17/11/2017	medium	8	T-54 mod.1	win	1	Malinovka	0	573	240	656	0	0	16084
17/11/2017	medium	8	T-54 mod.1	win	0	Steppes	902	240	1897	1274	0	1	54625
17/11/2017	medium	8	T-54 mod.1	win	0	Mines	0	470	1140	641	0	0	28151
17/11/2017	medium	8	T-54 mod.1	lost	0	Himmelsdorf	1489	252	2140	524	0	0	35199
17/11/2017	tank destroyer	10	Jp Pz E100	draw	0	Nebelburg	0	0	0	417	0	0	-20619
17/11/2017	heavy	10	T110E5	lost	0	Westfield	762	0	890	278	0	0	-14366
17/11/2017	tank destroyer	8	Rhm-B WT	win	1	Murovanka	992	107	0	992	0	1	8896
17/11/2017	medium	8	T-54 mod.1	lost	0	Live Oaks	770	0	2140	339	0	0	20038
17/11/2017	tank destroyer	7	T25/2	win	0	Overlord	763	335	240	869	0	0	10762
17/11/2017	heavy	8	T26E5	win	0	Airfield	1691	776	680	1323	1	0	58428
17/11/2017	medium	8	T-54 mod.1	lost	0	Abbey	1770	873	1490	840	0	1	45926
17/11/2017	medium	8	T-54 mod.1	win	0	Tundra	677	100	390	942	0	1	28967
17/11/2017	heavy	8	T26E5	win	1	Steppes	1243	955	0	1178	0	2	55325
17/11/2017	medium	8	T-54 mod.1	lost	0	Stalingrad	3000	0	2040	953	0	3	62159
17/11/2017	medium	8	T-54 mod.1	win	1	Ensk	2913	2050	1690	1905	1	1	98175
17/11/2017	heavy	10	Pz.Kpfw.VII	lost	0	Nebelburg	626	436	0	234	0	0	-16666
17/11/2017	medium	8	T-54 mod.1	win	0	Kharkov	758	0	400	846	0	0	26120
17/11/2017	heavy	10	Pz.Kpfw.VII	lost	1	Sacred Valley	3515	142	2350	569	0	0	15457
17/11/2017	heavy	10	Pz.Kpfw.VII	lost	0	Fiery Salient	462	420	3820	317	0	0	-10765
17/11/2017	medium	8	T-54 mod.1	win	0	Erlenberg	256	224	720	660	0	0	22013
17/11/2017	heavy	10	Pz.Kpfw.VII	lost	0	Redshire	2383	0	3000	348	0	0	-3213
17/11/2017	heavy	10	Pz.Kpfw.VII	lost	0	Airfield	1205	219	1380	371	0	0	-13105
17/11/2017	heavy	10	Pz.Kpfw.VII	lost	0	Serene Coast	1122	533	3240	1082	7	0	-10176
17/11/2017	medium	8	T-54 mod.1	win	0	Kharkov	0	434	1090	761	0	0	13995
17/11/2017	heavy	10	Pz.Kpfw.VII	win	1	Highway	3537	2029	5960	1458	4	0	25412
17/11/2017	heavy	10	Pz.Kpfw.VII	win	0	Tundra	2808	2630	2170	861	0	1	20085
18/11/2017	heavy	10	Pz.Kpfw.VII	win	0	Live Oaks	1710	263	2330	1055	7	0	-1469
18/11/2017	light	9	AMX 13 90	lost	0	Paris	260	1685	0	417	0	0	2973
18/11/2017	heavy	10	Pz.Kpfw.VII	lost	0	Nebelburg	3379	3058	930	882	5	3	12286
18/11/2017	heavy	10	Pz.Kpfw.VII	win	1	Westfield	1707	298	2550	1005	0	0	15712
18/11/2017	heavy	8	T26E5	lost	0	Abbey	1270	0	320	557	0	1	31758
24/11/2017	tank destroyer	8	WZ-120-1G	lost	1	Steppes	885	0	1850	375	0	2	27760
24/11/2017	tank destroyer	8	WZ-120-1G	lost	0	Highway	3019	30	940	555	0	0	53350
24/11/2017	tank destroyer	8	WZ-120-1G	lost	0	Winterberg	0	0	0	681	0	0	16185
24/11/2017	heavy	10	Pz.Kpfw.VII	win	1	Windstorm	3350	1237	1940	1457	10	1	29036
24/11/2017	tank destroyer	8	WZ-120-1G	win	1	Airfield	977	135	539	800	0	0	38247
24/11/2017	medium	7	T-43	lost	0	Fiery Salient	165	0	340	77	0	0	-1217
24/11/2017	tank destroyer	8	WZ-120-1G	win	1	El Halluf	2851	568	780	1487	0	2	61138
24/11/2017	tank destroyer	8	WZ-120-1G	lost	0	Ensk	813	0	0	155	0	0	16973
24/11/2017	tank destroyer	8	WZ-120-1G	win	0	Steppes	685	0	0	882	0	1	25783
24/11/2017	tank destroyer	8	WZ-120-1G	lost	0	Murovanka	2256	212	0	456	0	1	35800
24/11/2017	medium	7	T-43	lost	0	Swamp	619	0	0	269	0	1	1530
24/11/2017	tank destroyer	8	WZ-120-1G	win	0	Malinovka	1282	41	0	864	0	0	29860
24/11/2017	tank destroyer	8	WZ-120-1G	lost	0	Overlord	2575	0	0	560	1	1	56590
24/11/2017	tank destroyer	8	WZ-120-1G	win	0	Sacred Valley	1240	1240	154	0	0	0	42600
24/11/2017	tank destroyer	8	WZ-120-1G	win	0	Mines	1893	0	1210	1323	0	2	66636
24/11/2017	tank destroyer	8	WZ-120-1G	win	0	Steppes	1007	0	730	936	0	0	45656
24/11/2017	heavy	8	T26E5	lost	0	Erlenberg	772	491	390	387	0	0	31599
24/11/2017	tank destroyer	8	WZ-120-1G	win	1	Murovanka	4116	0	0	1694	0	5	95462
24/11/2017	tank destroyer	8	WZ-120-1G	win	1	Airfield	194	0	0	0	0	0	28160
24/11/2017	tank destroyer	8	WZ-120-1G	lost	0	Fishermans Bay	1071	426	560	366	0	1	27764
24/11/2017	tank destroyer	8	WZ-120-1G	lost	0	Tundra	413	261	0	342	0	0	19495
24/11/2017	tank destroyer	8	WZ-120-1G	lost	0	Westfield	0	0	0	278	0	0	8824
24/11/2017	heavy	10	Pz.Kpfw.VII	win	1	Kharkov	3133	121	7300	1383	0	1	17666
24/11/2017	tank destroyer	8	WZ-120-1G	win	0	Sacred Valley	477	0	390	792	0	0	32369
25/11/2017	tank destroyer	8	WZ-120-1G	lost	0	Serene Coast	1063	528	880	497	0	1	24963
25/11/2017	tank destroyer	8	Strv S1	win	1	Ensk	1443	124	0	911	0	1	43744
25/11/2017	tank destroyer	8	WZ-120-1G	win	0	Fjords	1679	929	320	1178	0	0	48288
25/11/2017	tank destroyer	8	Strv S1	lost	0	Prokhorovka	823	0	0	312	0	0	17363
25/11/2017	heavy	10	Pz.Kpfw.VII	win	1	Nebelburg	2949	213	6970	1178	10	0	25491
